location,sentiment,overall_sentiment_score
Barh,Positive,0.5719
Barhalganj,Positive,0.4215
Barharwa,Negative,-0.6249
Baripada,Positive,0.48884999999999995
Baripara,Neutral,0.0
Barjora,Neutral,0.0
Barmer,Positive,0.4215
Barpeta District,Negative,0.2741
Barrackpore,Positive,0.3777125
Barrackpur Cantonment Civil Township,Negative,-0.2263
Barua Sagar,Positive,0.44040000000000007
Baruipur,Positive,0.4985636363636364
Basantapur,Neutral,0.0
Basanti,Neutral,0.2202
Basavakalyan,Negative,0.07005
Basirhat,Neutral,0.2267375
Basoda,Negative,-0.07224999999999998
Basti,Neutral,0.3257357142857143
Basti District,Neutral,0.21928666666666666
Basti Division,Negative,0.024500000000000008
Basukinath,Positive,0.44040000000000007
Bathinda,Negative,0.12046666666666665
Batika,Positive,0.2617
Baudh District,Positive,0.586375
Bawal,Positive,0.462275
Bawani Khera,Neutral,0.4417
Bayarsing,Positive,0.4404
Bazpur,Positive,0.5555
Beawar,Negative,-0.10170000000000001
Beed,Positive,0.7003
Begusarai,Negative,-0.09861111111111108
Begusarai District,Negative,0.08517857142857146
Begusari,Positive,0.44040000000000007
Behror,Negative,-0.3412
Bela Pratapgarh,Positive,0.5994
Belagavi,Positive,0.5604666666666667
Beldanga,Negative,-0.1491
Belgaum,Positive,0.4927
Belgaum District,Neutral,0.2580090909090909
Bellampalle,Positive,0.3902
Bellary,Neutral,0.24634999999999999
Bellary District,Positive,0.52824
Belonia,Positive,0.5719
Belpahar,Positive,0.6486
Bengalore,Negative,-0.5423
Bengaluru,Negative,-0.0034031772671772784
Bengaluru Rural District,Positive,0.44293846153846156
Benipur,Positive,0.8074
Berhait Bazar,Positive,0.4404
Berhampore,Negative,0.15373921568627455
Berhampur,Positive,0.5870714285714286
Bermo,Positive,0.4215
Bethamcherla,Neutral,0.0
Betia,Neutral,0.21075
Bettiah,Neutral,0.29018125
Betul,Neutral,0.28595
Betul District,Positive,0.8514
Beypore,Negative,-0.2732
Bhabnan Bazar,Neutral,0.0649
Bhadohi,Positive,0.4729857142857143
Bhadrachalam,Negative,-0.21075
Bhadrak,Neutral,0.1349
Bhadrak District,Neutral,0.35464375000000004
Bhadrari Kothagudem District,Negative,0.0071500000000000175
Bhadravati,Neutral,0.0
Bhadreswar,Positive,0.6369
Bhagalpur,Negative,0.11993333333333331
Bhagalpur District,Neutral,0.24991578947368423
Bhagalpur Division,Positive,0.91
Bhagwanpur,Positive,0.6369
Bhagwant Nagar,Positive,0.8015
Bhakali,Negative,-0.33485
Bhandara District,Positive,0.5548200000000001
Bharatpur,Positive,0.6756857142857143
Bharatpur District,Positive,0.5561499999999999
Bhargain,Neutral,0.0
Bharthana,Positive,0.4754
Bharuch,Positive,0.6369
Bharuch District,Neutral,0.21783750000000002
Bhatpara,Positive,0.6324
Bhavnagar,Negative,-0.013411111111111115
Bhavnagar District,Positive,0.5994
Bhawanigarh,Positive,0.4754
Bhilai,Neutral,0.23148333333333332
Bhilwara,Positive,0.8326
Bhimavaram,Negative,0.06293000000000001
Bhind,Negative,-0.009199999999999958
Bhiwadi,Positive,0.3198166666666667
Bhiwandi,Positive,0.5079714285714286
Bhiwani,Positive,0.49415
Bhiwani District,Neutral,0.23763333333333336
Bhojpur,Positive,0.4215
Bhojpur District,Neutral,0.2350875
